taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
4653;2016.12.19 16:15;600;0;7,5;2;bankkártya
513;2016.12.16 18:15;720;1,9;9,25;0;készpénz
8661;2016.12.14 18:30;60;0;3,25;0;készpénz
4026;2016.12.06 5:15;1320;17,8;44;8,8;bankkártya
3662;2016.12.19 16:45;660;2,09;9,25;0;készpénz
7006;2016.12.06 21:45;780;3,4;12,25;2;bankkártya
1213;2016.12.02 18:00;240;1,3;6,5;0;vitatott
7895;2016.12.07 15:00;2100;1;45;13,5;bankkártya
3544;2016.12.22 10:45;420;1,2;6,75;0;készpénz
7005;2016.12.13 17:30;420;0,9;6;2;bankkártya
710;2016.12.01 21:45;360;0;6,25;0;készpénz
4296;2016.12.05 6:30;3480;18,1;46,75;0;bankkártya
4247;2016.12.30 20:15;720;3,4;12;0;készpénz
349;2016.12.16 18:00;1020;1,3;9,75;0;készpénz
1644;2016.12.13 17:30;1020;1,9;10,5;0;készpénz
8566;2016.12.12 15:30;3780;32,4;78;15;bankkártya
797;2016.12.15 18:30;720;2,5;10;2;bankkártya
3671;2016.12.02 22:45;840;3,6;12,5;0;készpénz
8016;2016.12.23 17:15;240;0;4,75;0;készpénz
3014;2016.12.17 16:45;420;0;5,75;4;bankkártya
1901;2016.12.05 9:00;240;0;4,75;0;készpénz
6366;2016.12.18 13:45;420;0,7;6;0;készpénz
2595;2016.12.27 17:00;420;1,2;6,75;2;bankkártya
7689;2016.12.14 18:00;1200;0,7;9,75;0;készpénz
7745;2016.12.01 9:15;1320;3,1;13,25;2,85;bankkártya
2533;2016.12.27 18:45;660;1,5;8,25;0;készpénz
6675;2016.12.17 23:30;480;0,9;6,25;1;bankkártya
8588;2016.12.15 19:15;1440;0,4;21,5;0;készpénz
7627;2016.12.07 21:15;240;0,4;4,75;3;bankkártya
731;2016.12.28 17:15;2640;11,3;38,5;0;készpénz
4488;2016.12.16 15:15;420;0,5;5,75;0;készpénz
3238;2016.12.16 18:00;1140;0;9,75;0;készpénz
857;2016.12.13 20:15;294;0,88;5,75;0;készpénz
2912;2016.12.13 17:15;960;1,3;9,25;0;készpénz
1302;2016.12.02 19:15;780;2;9,75;2;bankkártya
3862;2016.12.13 19:00;420;0;6,25;0;készpénz
8022;2016.12.22 17:45;780;0;9,5;0;készpénz
